Timestamp,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
12/5/2016 14:56:22,"Mitski, Puberty 2","Margaret Glaspy, Emotions and Math",,,
12/10/2016 10:31:28,Laish Pendulum Swing,Max jury max jury,,,
12/9/2016 10:25:49,"Jess Morgan, Edison Gloriette","Maz O'Connor, The Longing Kind",,,
12/9/2016 15:47:13,"Phish, Big Boat","Metallica, Hardwired ... To self destruct ",,,
12/6/2016 13:50:11,"David Bowie, Blackstar","Metallica, Hardwired...",,,
12/6/2016 22:58:33,"Avatar, Feathers & Flesh","Metallica, Hardwired... To Self Destruct",,,
12/11/2016 11:05:46,Zayn,Mind of mind,,,
12/11/2016 18:01:01,Made In The A.M.,Mind Of Mine,,,
12/11/2016 13:54:04,Made in the am,Mind of mine,,,
12/11/2016 23:50:17,Zayn,Mind of mine,,,
12/11/2016 14:15:44,,Mind of Mine Zayn,,,
12/5/2016 15:47:26,"Luke Winslow-King, I'm Glad Trouble Don't Last Always","Mitski, Puberty 2",,,
12/6/2016 19:41:23,"Sam Rockwell Machete Champion, Good Fortune and Unlimited Power for Years to Come","Mother Evergreen, Mother Evergreen",,,
12/5/2016 14:43:22,"the posies ""Solid States""","Nada Surf ""You Know Who You Are""",,,
12/5/2016 13:39:46,"Thousand Foot Krutch, Exhale","Needtobreathe, Hardlove",,,
12/6/2016 12:45:59,"The Monkees, Good Times!","Nice As Fuck, Nice As Fuck",,,
12/8/2016 18:21:45,David Bowie LAZARUS,Nick Cave Skeleton tree,,,
12/7/2016 12:09:33,"Blink-182, California","Nine Inch Nails, unreleased",,,
12/6/2016 13:42:17,"Corinne Bailey Rae, The Heart Speaks in Whispers","Norah Jones, Daybreak",,,
12/5/2016 17:13:35,"Anderson Paak, Malibu","NxWorries, Yes Lawd!",,,
12/11/2016 14:31:59,Zayn ,O,,,
12/5/2016 18:51:42,"Car Seat Headrest, Teens of Denial","Okkervil River,",,,
12/11/2016 11:04:44,"Zayn Malik, mind of mine","One directio, made in The am ",,,
12/11/2016 15:56:05,Zayn Mind Of Mine,One Direction Made In The AM,,,
12/11/2016 18:12:25,"Zayn, Mind of Mine","One Direction, Made In The A.M",,,
12/11/2016 13:30:40,"Zayn Malik, Mind Of Mine","One Direction, Made In The A.M.",,,
12/6/2016 12:41:16,"Little Mix, Glory Days","OneRepublic, Oh  my My",,,
12/12/2016 11:09:10,"car seat headrest, Teens of Denial","P.J. Harvey, The Hope Six Demolition Project ",,,
12/9/2016 17:07:20,"Birdeatsbaby, Tanta Furia","Paolo Nutini, Caustic Love",,,
12/5/2016 22:28:00,Babymetal - Metal Resistance ,Passcode - Virtual,,,
12/6/2016 10:20:11,"Beyonce, Lemonade","Paul Simon, Stranger to Stranger",,,
12/9/2016 17:17:47,"Bob Weir, Blue Mountain","Phish, Big Boat",,,
12/7/2016 3:44:03,"choir boy, passive with desire","pinegrove, cardinal",,,
12/5/2016 15:15:37,"Kanye West, The Life of Pablo","Pinegrove, Cardinal",,,
12/5/2016 23:26:16,"You Won't, Revolutionaries","Pinegrove, Cardinal",,,
12/6/2016 1:27:51,"Radiohead, a moon shaped pool","Pj Harvey, the hope six demolition project",,,
12/11/2016 12:47:34,ZAYN,PNL,,,
12/12/2016 3:53:17,mind of mine,purpose,,,
12/6/2016 10:03:53,david bowie blackstar,radiohead a moon shaped pool,,,
12/6/2016 1:04:01,"Cubicolor, Brainsugar","Radiohead, A Moon Shaped Pool",,,
12/11/2016 0:50:58,"David Bowie, Blackstar","Radiohead, A Moon Shaped Pool",,,
12/11/2016 1:12:51,"David Bowie, Blackstar","Radiohead, A Moon Shaped Pool",,,
12/5/2016 16:01:05,"Drive By Truckers, American Band","Radiohead, A Moon Shaped Pool",,,
12/6/2016 18:08:10,"Simrit, Songs of Resilience ","Radiohead, A moon shaped pool",,,
12/5/2016 22:24:17,"sturgill simpson, a sailor's guide to earth","radiohead, a moon shaped pool",,,
12/10/2016 23:28:31,"The 1975, I like it when you sleep, for you are so beautiful yet so unaware of it","Radiohead, A Moon Shaped Pool",,,
12/7/2016 10:38:51,"Weyes Blood, Front Row Seat To Earth","Radiohead, A Moon Shaped Pool",,,
12/7/2016 10:39:15,"Weyes Blood, Front Row Seat To Earth","Radiohead, A Moon Shaped Pool",,,
12/5/2016 13:10:29,"Case/Lang/Veirs, S/T","Radiohead, A Moon-Shaped Pool",,,
12/11/2016 13:54:52,"ZAYN, Mind of Mine","Rihanna, ANTI",,,
12/11/2016 11:01:26,"ZAYN, Mind Of Mine ","Rihanna, ANTI",,,
12/11/2016 11:55:49,"Zayn,Mind of Mine","Rihanna,Anti",,,
12/11/2016 12:21:08,"Zayn,Mind of Mine","rihanna,Anti",,,
12/11/2016 14:15:28,"Zayn ,mind of mine ","Rihanna,anti ",,,
12/5/2016 14:36:16,"Brent Cobb, Shine On Rainy Day","Robert Ellis, Robert Ellis ",,,
12/6/2016 1:12:08,"Wildflower, The Avalanches","Roosevelt, Roosevelt",,,
12/9/2016 21:43:17,Tanta Furia ,Royal Blues,,,
12/5/2016 22:56:16,"Andy Shauf, The Party","Saba, bucket list project",,,
12/5/2016 23:11:09,"Andy Shauf, The Party","Saba, bucket list project",,,
12/6/2016 1:34:42,"Babymetal, Metal Resistance","Sabaton, The Last Stand",,,
12/7/2016 11:03:55,Angel Hardy & lukas drinkwater findings,"She makes war, direction of travel",,,
12/7/2016 11:42:39,New Model Army. Winter,She Makes War. Direction of Travel,,,
12/12/2016 11:15:07,"Birdeatsbaby, Tanta Furia","Shemakeswar, Direction Of Travel",,,
12/6/2016 13:44:25,"Aesop Rock, Impossible Kid","Sims, More Than Ever",,,
12/6/2016 1:10:43,"Ghoul, Dungeon Bastards","Skeletonwitch, Apothic Gloom",,,
12/5/2016 15:52:27,"Beyonce, LEMONADE","Solange, A Seat AT ",,,
12/5/2016 15:03:36,"David Bowie, Blackstar","Solange, A Seat at the Table",,,
12/8/2016 20:15:13,"yussef kamaal, Black focus","solange, a seat at the table",,,
12/7/2016 22:53:08,"Blind Pilot, And Then Like Animals","St. Lucia, Matter",,,
12/5/2016 14:38:49,"Junius Meyvant, Floating Harmonies","St. Paul & The Broken Bones, Sea of Noise",,,
12/12/2016 10:27:06,Mind Of Mine,Starboy,,,
12/11/2016 13:45:44,Mind of mine ,STARBOY ,,,
12/6/2016 1:21:13,"Tame Impala, Currents","STRFKR, Being No One, Going Nowhere",,,
12/12/2016 9:28:41,"Wilco, Scmilco",Sturggil ,,,
12/5/2016 13:40:50,"Radiohead, A Moon Shaped Pool","Sturgill Simpson, A Sailor's Guide to Earth",,,
12/5/2016 17:07:40,"Whitney, Light Upon the Lake","Sturgill Simpson, A Sailor's Guide to Earth ",,,
12/11/2016 16:12:33,"Car Seat Headrest, Teens of Denial","Sufjan Stevens, Carrie and Lowel",,,
12/5/2016 19:25:20,"Bayonne, Primitives","Sufjan Stevens, Carrie and Lowell",,,
12/5/2016 14:55:29,Coloring Book,Sunlit Youth,,,
12/5/2016 18:59:17,"Radiohead, A Moon Shaped Pool","Tame Impala, Currents",,,
12/6/2016 12:51:52,"Beyonce, Lemonade","Tegan and Sara, Love You to Death",,,
12/5/2016 21:37:39,"Glass Animals, How To Be A Human Being","Tegan and Sara, Love You To Death",,,
12/5/2016 21:38:07,"Glass Animals, How To Be A Human Being","Tegan and Sara, Love You to Death",,,
12/5/2016 21:40:18,"Glass Animals, How To Be A Human Being","Tegan and Sara, Love You to Death",,,
12/5/2016 21:40:28,"Glass Animals, How To Be A Human Being","Tegan and Sara, Love You To Death",,,
12/5/2016 14:39:49,The Cat empire Rising with the Sun,"Tegan and Sara, Love you to Death",,,
12/5/2016 16:38:18,"The Kills, Ash and Ice","Tegan and Sara, Love You To Death",,,
12/6/2016 17:17:20,"Anderson .Paak, Malibu",The 1975,,,
12/6/2016 16:52:42,"Bon Iver, 22 a Million","The 1975, I like it when you sleep for you are so beautiful yet so unaware of it ",,,
12/11/2016 23:19:07,"ZAYN, Mind Of Mine","The 1975, I like it when you sleep, for you are so beautiful yet so unaware if it",,,
12/5/2016 14:58:47,"Lin-Manuel Miranda, Hamilton Mixtape","The Avett Brothers, True Sadness",,,
12/5/2016 20:26:27,"David Bowie, Blackstar","The Claypool Lennon Delirium, Monolith of Phobos",,,
12/6/2016 2:18:14,Hamilton (Original Broadway Cast Recording),The Hamilton Mixtape,,,
12/6/2016 2:42:15,"Margaret Glaspy, Emotions and Math ",The Hamilton Mixtape,,,
12/9/2016 14:41:48,"Phish, Big Boat","The Head and the Heart, Signs of Light",,,
12/6/2016 11:46:21,"Touche Amore, Stage Four","The Lumineers, Cleopatra",,,
12/9/2016 13:11:18,Nathaniel Rateliff,The Record Company,,,
12/6/2016 10:47:31,"Childish Gambino, Awaken My Love","The Weekend, Starboy",,,
12/5/2016 14:30:49,Zayn Mind of Mine ,The Weeknd Starboy,,,
12/11/2016 12:18:25,"Zayn,Mind of mine","The Weeknd,starboy",,,
12/6/2016 0:51:08,"Brian Gibson, Thumper","Theophany, Time's End II",,,
12/6/2016 7:12:48,Kate tempest let them eat chaos ,Tribe called quest,,,
12/6/2016 20:48:52,Kate tempest let them eat chaos ,Tribe called quest,,,
12/9/2016 18:40:16,"Phish, Big Boat ",Tribe Called Quest ,,,
12/6/2016 1:13:00,"Childish Gambion, Awaken My Love","Tribe Called Quest, Thank You 4 Your Service",,,
12/9/2016 9:37:32,"Jess Morgan, Edison Gloriette","Tycho, Epoch",,,
12/6/2016 2:14:28,"Original Cast Recording, Hamilton Musical","Various, Hamilton Mixtape",,,
12/5/2016 17:36:19,"Lady Gaga, Joanne","Various, The Hamilton Mixtape",,,
12/5/2016 20:18:41,"Brandy Clark, Big Day in a Small Town","Vince Gill, Down to my last Bad Habit",,,
12/6/2016 21:31:11,"Brandy Clark, Big Day in a Small Town","Vince Gill, Down to my Last Bad Habit",,,
12/11/2016 11:24:24,"Zayn, Mind of mine","Weeknd, starboy",,,
12/6/2016 11:46:18,"James Blake, The Colour in Anything","Weezer, Weezer",,,
12/10/2016 10:13:18,"Car Seat Headrest, Teens of Denial","White Denim, Stiff",,,
12/6/2016 10:44:03,"Kaytranada, 99.9%","White Lung, Paradise",,,
12/7/2016 13:44:53,"Beyonce, Lemonade ","Whitney, Light Upon the Lake ",,,
12/5/2016 16:00:23,"Angel Olsen, My Woman","Wilco, Schmilco",,,
12/7/2016 7:43:01,"radiohead, A Moon Shaped Pool","Wilco, Schmilco",,,
12/7/2016 22:52:26,"Radiohead, A Moon Shaped Pool","Wilco, Schmilco",,,
12/5/2016 12:58:58,"Hiss Golden Messenger, Heart Like a levee","William Tyler, modern country ",,,
12/7/2016 4:48:21,"Andrew Bird, Are You Serious","Xenia Rubinos, Black Terry Cat",,,
12/6/2016 14:03:22,"Radiohead, A Moon Shaped Pool","Yeasayer, Amens & Goodbyes",,,
12/5/2016 21:57:18,"American Band, Drive by truckers","You want it darker, leonard cohen",,,
12/5/2016 20:45:02,"Dolce Vita, Jonas Kaufmann","You want it darker, Leonard Cohen",,,
12/11/2016 23:32:22,"ZAYN, Mind of Mine","Yuna, Chapters",,,
12/5/2016 15:03:43,Dil,Yuu,,,
12/6/2016 3:10:49,Mind of mine,Zayn malik,,,
12/11/2016 10:59:17,One Direction- Made In The A. M,Zayn- Mind Of Mine ,,,
12/11/2016 11:17:46,"Little Mix, Glory Days","Zayn, Mind of Mine",,,
12/11/2016 11:08:31,"The 1975, I like it when you sleep for you are so beautiful yet so unaware of it","Zayn, Mind Of Mine",,,
12/11/2016 14:00:29,"Zayn, mind of mine ","Zayn, mind of mine ",,,
12/10/2016 13:27:10,"zayn, mind of mine","zayn,mind of mine",,,
12/11/2016 11:12:29,Zayn Mind Of Mine,Zqyn Malik Mind Of Mine,,,
12/5/2016 17:02:30," i.e. kokoro, EPHEMERA",,,,
12/5/2016 17:31:19," i.e. kokoro, EPHEMERA",,,,
12/7/2016 13:13:34,"""Phil Cooper, Things I'll Never Say""",,,,
12/11/2016 12:13:26,"22, A MILLION",,,,
12/12/2016 11:49:35,"22, a Million'",,,,
12/5/2016 15:53:39,"A Tribe Called Quest, We Got it from Here",,,,
12/5/2016 19:07:54,"Aaron Embry, Life Ahead",,,,
12/9/2016 13:52:35,Adam Lambert's Ghost Town,,,,
12/8/2016 1:44:03,Adele 25,,,,
12/8/2016 1:44:34,Adele 25,,,,
12/6/2016 10:58:18,"Adele, 25",,,,
12/5/2016 19:07:01,"AJJ, The Bible 2",,,,
12/6/2016 2:18:19,"AJJ, The Bible 2",,,,
12/9/2016 14:41:11,"Amanda Shires, My Piece of Land",,,,
12/5/2016 14:37:43,"Amos lee, Spirit",,,,
12/9/2016 19:01:18,"Anders Osborne, Flower Box",,,,
12/6/2016 15:59:44,"Anderson .paak, Malibu",,,,
12/5/2016 16:56:12,Andy Shauf The Party,,,,
12/5/2016 15:17:37,"Angel Olsen, My Woman",,,,
12/6/2016 0:46:16,"Animals as Leaders, The Madness of Many",,,,
12/5/2016 18:50:15,"Aphex Twin, Cheetah EP",,,,
12/5/2016 15:42:57,"Augustines, This Is Your Life",,,,
12/6/2016 10:20:52,"Avenged sevenfold, the stage",,,,
12/6/2016 5:47:35,"Avett Brothers, True Sadness",,,,
12/12/2016 12:07:41,"Avett Brothers, True Sadness",,,,
12/9/2016 13:02:35,"Bastille, Wild World",,,,
12/9/2016 18:19:14,Beatles Live at Hollywood Bowl,,,,
12/6/2016 16:30:19,Bend With The Wind,,,,
12/6/2016 16:33:34,Bend With The Wind,,,,
12/6/2016 16:37:32,Bend With The Wind,,,,
12/6/2016 16:45:24,Bend With The Wind,,,,
12/6/2016 17:07:14,Bend With The Wind,,,,
12/6/2016 17:36:58,Bend With The Wind,,,,
12/5/2016 23:25:07,Beyonce Lemonade,,,,
12/5/2016 14:17:10,"Beyonce, Lemonade",,,,
12/5/2016 15:53:47,"Beyonce, Lemonade",,,,
12/6/2016 6:32:38,"Beyonce, Lemonade",,,,
12/7/2016 6:07:16,"Beyoncé, Lemonade ",,,,
12/6/2016 22:30:37,"Beyonce,Lemonade",,,,
12/5/2016 21:42:37,"Big Thief, Masterpiece",,,,
12/8/2016 6:47:28,"Birdearsbaby, Tanta Furia ",,,,
12/8/2016 6:41:42,Birdeatsbaby Tanta Furia,,,,
12/8/2016 6:36:10,"Birdeatsbaby, Tanta Furia",,,,
12/8/2016 6:39:01,"Birdeatsbaby, Tanta Furia",,,,
12/8/2016 6:43:32,"Birdeatsbaby, Tanta Furia",,,,
12/8/2016 7:38:38,"Birdeatsbaby, TANTA FURIA",,,,
12/8/2016 13:45:14,"Birdeatsbaby, Tanta Furia",,,,
12/8/2016 13:45:32,"Birdeatsbaby, Tanta Furia",,,,
12/8/2016 17:27:25,"Birdeatsbaby, TANTA FURIA",,,,
12/5/2016 16:18:56,"Blonde, Frank Ocean",,,,
12/6/2016 1:22:09,"Bob Weir, Blue Mountain",,,,
12/6/2016 14:04:43,"Bombino, Azel",,,,
12/9/2016 19:41:58,"Bon Iver, '22, A Million'",,,,
12/6/2016 10:57:29,"Bon Iver, 22 A Million",,,,
12/6/2016 13:17:46,"Bon Iver, 22 a million",,,,
12/6/2016 16:11:06,"bon iver, 22 a million",,,,
12/7/2016 20:46:37,"Bon Iver, 22 a million",,,,
12/10/2016 17:13:33,"bon iver, 22 a million",,,,
12/7/2016 12:04:48,"Bon Iver, 22 A million ",,,,
12/5/2016 15:29:03,"Bon Iver, 22, a million",,,,
12/5/2016 16:52:15,"Bon Iver, 22, A Million",,,,
12/5/2016 23:17:58,"Bon Iver, 22, A Million",,,,
12/5/2016 17:01:23,"Bon Iver, 22a million",,,,
12/8/2016 12:14:32,"Bon Iver, 33 a million",,,,
12/5/2016 14:57:23,"Bon Iver,22,a Million",,,,
12/12/2016 8:48:43,"bon iver. 22,a million",,,,
12/6/2016 8:53:24,"Bon Jovi, This House is Not For Sale",,,,
12/6/2016 2:09:49,"Bossk, Audio Noir",,,,
12/5/2016 23:45:17,Brandy Clark ,,,,
12/5/2016 21:12:03,Brandy Clark - Big Day in a Small Town,,,,
12/5/2016 16:37:46,Brandy clark big day in a small town,,,,
12/5/2016 16:37:57,Brandy clark big day in a small town,,,,
12/5/2016 23:37:29,Brandy Clark Big Day In A Small Town,,,,
12/6/2016 2:00:03,"Brandy Clark, Big Day In  Small Town",,,,
12/6/2016 7:37:54,"Brandy Clark, Big Day In A  Small Town",,,,
12/5/2016 23:23:57,"Brandy Clark, Big Day in a Small Towm",,,,
12/5/2016 15:04:43,"Brandy Clark, Big Day in a Small Town",,,,
12/5/2016 18:02:39,"Brandy Clark, Big day in a small town",,,,
12/5/2016 18:29:35,"Brandy Clark, Big Day In A Small Town",,,,
12/5/2016 18:43:15,"Brandy Clark, Big Day In A Small Town",,,,
12/5/2016 19:54:21,"Brandy Clark, Big Day In A Small Town",,,,
12/6/2016 0:02:11,"Brandy Clark, big day in a small town",,,,
12/6/2016 2:02:08,"Brandy Clark, Big Day In A Small Town",,,,
12/6/2016 14:30:38,"Brandy Clark, Big Day in a Small Town",,,,
12/9/2016 20:16:51,"Brandy Clark, Big Day in a Small Town",,,,
12/5/2016 19:17:39,"brandy clark, big day in a small town.",,,,
12/6/2016 0:55:08,"Brian Fallon, Painkillers",,,,
12/7/2016 6:51:25,"Britney Spears, Glory",,,,
12/6/2016 3:10:26,"Britney Spears,Glory",,,,
12/8/2016 10:09:57,BritneySpears Glory,,,,
12/6/2016 1:31:25,"Bruno Mars, 24K",,,,
12/6/2016 7:12:29,"BT, _",,,,
12/7/2016 0:39:59,Bts wings,,,,
12/11/2016 10:58:34,"BTS,Wings",,,,
12/6/2016 19:34:10,car seat headrest,,,,
12/6/2016 20:40:46,Car seat headrest Teens of Denial,,,,
12/5/2016 13:16:22,"Car Seat Headrest, Teens of Denial",,,,
12/7/2016 0:43:51,"Car seat headrest, teens of denial",,,,
12/10/2016 23:58:41,"Car Seat Headrest, Teens of Denial",,,,
12/6/2016 8:27:11,"Car seat headrest, teens of dial",,,,
12/6/2016 21:54:28,"Carrie Rodriquez, Lola",,,,
12/7/2016 8:46:19,"Case, Lang and Veirs",,,,
12/6/2016 4:12:07,Catherine Russell - Harlem on my mind,,,,
12/6/2016 1:35:20,Chance coloring book,,,,
12/6/2016 20:49:22,Chance th,,,,
12/12/2016 9:30:21,Chance the Rapper Coloring Book,,,,
12/5/2016 18:59:38,"Chance the Rapper, Coloring Book",,,,
12/6/2016 7:08:36,"Chance the rapper, coloring book",,,,
12/5/2016 15:58:22,Chelle Rose Blue Ridge Blood,,,,
12/5/2016 14:51:41,"Chelle Rose, Blue Ride Blood",,,,
12/5/2016 15:28:28,"Chelle Rose, Blue Ridge Blood",,,,
12/5/2016 17:55:31,Chelle Rose. Blue Ridge Blood,,,,
12/5/2016 20:39:15,Chelle Rose. Blue Ridge Blood,,,,
12/6/2016 3:24:03,"Chevelle, North Corridor",,,,
12/11/2016 20:26:10,"Chris Stapleton, Traveler",,,,
12/6/2016 13:20:01,Cohen,,,,
12/6/2016 0:55:45,Col,,,,
12/9/2016 14:45:30,"Coloring book, chance the rapper ",,,,
12/5/2016 16:59:11,"Conor Oberst, Ruminations",,,,
12/6/2016 17:17:42,"Conor Oberst, Ruminations  ",,,,
12/6/2016 22:11:30,"Conor Oberst, Ruminations  ",,,,
12/6/2016 0:56:10,"Danny Brown, Atrocity Exhibition",,,,
12/8/2016 21:19:45,David Bowie,,,,
12/6/2016 8:04:07,David Bowie ,,,,
12/5/2016 16:02:18,David Bowie Blackstar,,,,
12/6/2016 4:25:19,"David Bowie, Black Star",,,,
12/6/2016 11:57:22,"David Bowie, Black Star",,,,
12/6/2016 15:32:59,"David Bowie, Black Star",,,,
12/5/2016 16:24:08,"David Bowie, Blackstar",,,,
12/5/2016 20:20:32,"David Bowie, Blackstar",,,,
12/6/2016 0:19:05,"David Bowie, Blackstar",,,,
12/6/2016 4:34:51,"David Bowie, Blackstar",,,,
12/6/2016 6:14:34,"David Bowie, Blackstar",,,,
12/6/2016 9:48:07,"David Bowie, Blackstar",,,,
12/6/2016 10:27:14,"David Bowie, Blackstar",,,,
12/6/2016 14:05:30,"David Bowie, Blackstar",,,,
12/6/2016 15:18:51,"David Bowie, Blackstar",,,,
12/6/2016 19:42:59,"David Bowie, Blackstar",,,,
12/5/2016 22:33:41,"David Bowie, blackstar ",,,,
12/6/2016 3:40:52,"Dawn Richard, Redemption",,,,
12/6/2016 8:13:58,"Devil Makes Three, Redemption and Ruin",,,,
12/12/2016 7:16:05,"Dilly dally, sore ",,,,
12/6/2016 16:44:53,Doctors & Engineers - *From a Good Family,,,,
12/6/2016 16:54:49,"Dream Theater, The Astonishing",,,,
12/10/2016 17:18:10,"Drive by Truckers, American ",,,,
12/6/2016 14:25:27,"Dylan Evans, Hot Timez",,,,
12/7/2016 14:46:49,Emtee   album: avery,,,,
12/6/2016 1:20:33,"Fifth Harmony, 7/27",,,,
12/7/2016 14:10:16,"Flatbush zombies, 3001 a laced oddessy",,,,
12/5/2016 21:20:02,"Frank Ocean, Blond",,,,
12/6/2016 3:30:59,"Frank ocean, blond ",,,,
12/6/2016 4:19:14,"Frank ocean, blond ",,,,
12/5/2016 21:24:49,"Frank Ocean, Blonde",,,,
12/5/2016 21:25:00,"Frank Ocean, Blonde",,,,
12/5/2016 21:25:13,"Frank Ocean, Blonde",,,,
12/5/2016 21:25:18,"Frank Ocean, Blonde",,,,
12/5/2016 21:25:23,"Frank Ocean, Blonde",,,,
12/5/2016 21:25:27,"Frank Ocean, Blonde",,,,
12/6/2016 0:45:08,"Frankie Cosmos, Next Thing",,,,
12/6/2016 2:50:52,"Frero Delavega, Des Ombres et Des Lumieres ",,,,
12/6/2016 17:20:48,"Game Theory, Lolita Nation, remix/re-release by Omnivore Records",,,,
12/6/2016 7:53:00,"Garbage, Strange Little Birds",,,,
12/6/2016 4:58:25,"Glass Animals, how to be a Human Being",,,,
12/7/2016 2:18:22,good times,,,,
12/6/2016 10:28:38,"Green Day, Revolution Radio",,,,
12/6/2016 11:58:02,"Grouplove, Big Mess",,,,
12/5/2016 16:35:00,"Guerilla Toss, Eraser Stargazer",,,,
12/8/2016 7:44:14,"Hamilton Leithauser + Rostam, I Had A Dream That You Were Mine",,,,
12/6/2016 8:14:37,"Hamilton, Mixtape",,,,
12/6/2016 7:25:51,"Hardwired to self destruct, Metallica",,,,
12/6/2016 15:15:43,"Highly Suspect , the boy who died wolf ",,,,
12/5/2016 17:02:07,Hiss Golden Messenger,,,,
12/5/2016 12:54:29,"Hiss Golden Messenger, Heart Like a Levee",,,,
12/5/2016 12:58:18,"Hiss Golden Messenger, Heart Like a Levee",,,,
12/5/2016 13:15:48,"Hiss Golden Messenger, Heart Like A Levee",,,,
12/5/2016 14:10:44,"Hiss Golden Messenger, Heart Like A Levee",,,,
12/6/2016 15:03:47,"Hiss Golden Messenger, Heart Like A Levee",,,,
12/9/2016 13:04:57,"Hiss Golden Messenger, Heart Like a Levee",,,,
12/5/2016 20:54:20,"i.e kokoro, Epherema",,,,
12/5/2016 17:30:34,"i.e. kokoro, EPHEMERA",,,,
12/5/2016 17:53:00,"i.e. kokoro, EPHEMERA",,,,
12/5/2016 20:13:38,"i.e. kokoro, EPHEMERA",,,,
12/5/2016 21:08:59,"I.e. Kokoro, ephemera",,,,
12/5/2016 21:52:45,"Ian Hunter ""Fingers Crossed""",,,,
12/5/2016 21:53:09,"Ian Hunter ""Fingers Crossed""",,,,
12/6/2016 0:34:23,"Iggy Pop, Post Pop Depression",,,,
12/6/2016 16:03:16,"Iggy Pop, Post Pop Depression",,,,
12/8/2016 4:07:07,indea is pop,,,,
12/5/2016 15:11:58,"Iron maiden, power slave",,,,
12/5/2016 16:00:57,"James Blake, Color in Anything",,,,
12/12/2016 8:30:53,"James Leo, James Leo",,,,
12/9/2016 16:53:14,Jess Morgan Edison Gloriette,,,,
12/9/2016 4:59:24,"Jess Morgan, Edison Gloriette",,,,
12/9/2016 5:33:40,"Jess Morgan, Edison Gloriette",,,,
12/9/2016 6:30:04,"Jess Morgan, Edison Gloriette",,,,
12/9/2016 10:59:13,"Jess Morgan, Edison Gloriette",,,,
12/10/2016 15:23:33,"Jf Robitaille, Palace Blues",,,,
12/6/2016 14:17:49,"Joey Alexander, Countdown",,,,
12/5/2016 12:53:34,"John Congleton and the Nighty Nite ""Until the Horror Goes""",,,,
12/8/2016 20:18:31,"John Paul White, Beulah",,,,
12/6/2016 15:32:28,"Jon Mueller, Tongues",,,,
12/6/2016 1:04:46,"Jonatha Brooke, Midnight. Hallelujah.",,,,
12/10/2016 17:51:24,"Josienne Clarke & Ben Walker, Overnight",,,,
12/6/2016 21:40:56,"Kanye West, Life of Pablo",,,,
12/5/2016 19:49:30,"Kanye west, like",,,,
12/6/2016 2:15:37,"Kanye West, The Life of Pablo",,,,
12/6/2016 2:15:59,"Kanye West, The Life of Pablo",,,,
12/6/2016 2:16:19,"Kanye West, The Life of Pablo",,,,
12/6/2016 2:16:33,"Kanye West, The Life of Pablo",,,,
12/7/2016 13:18:47,"Kate Tempest, Let Them Eat Chaos",,,,
12/6/2016 13:39:13,Kikagaku  Myo ,,,,
12/6/2016 13:40:14,"Kikagaku Moyo ""House in the Tall Grass""",,,,
12/6/2016 2:25:37,"King Gizzard and the Lizard Wizard, Nonagon Infinity",,,,
12/6/2016 13:33:06,"King Gizzard and the Lizard Wizard, Nonagon Infinity",,,,
12/5/2016 14:54:27,"Kishi Bashi, Sonderlust",,,,
12/5/2016 14:57:27,"Kishi Bashi, Sonderlust",,,,
12/6/2016 15:01:52,Kris Alle,,,,
12/6/2016 14:53:22,"Kris Allen, Letting You In",,,,
12/6/2016 14:58:28,"Kris Allen, Letting You In",,,,
12/6/2016 15:38:12,"Kris Allen, letting you in",,,,
12/9/2016 15:58:56,Kristin Hersh. Wyatt at the coyote palace,,,,
12/12/2016 9:40:45,"Kyle Craft, Dolls of Highland",,,,
12/9/2016 13:12:05,"L Cohen, You Want it Darker",,,,
12/9/2016 19:34:28,"Lady Gaga, Joanne",,,,
12/10/2016 5:31:59,Laish - Pendulum Swing,,,,
12/10/2016 6:16:41,Laish - Pendulum Swing,,,,
12/10/2016 8:01:03,Laish - Pendulum Swing,,,,
12/10/2016 15:07:51,laish - pendulum swing,,,,
12/10/2016 6:55:54,Laish Pendulum Swing,,,,
12/10/2016 5:58:00,"Laish, pendulum swing",,,,
12/10/2016 11:27:54,"Laish, Pendulum Swing",,,,
12/10/2016 11:29:27,"Laish, Pendulum Swing",,,,
12/10/2016 13:53:42,"Laish, Pendulum Swing",,,,
12/10/2016 18:11:13,"LAISH, Pendulum Swings",,,,
12/9/2016 13:05:58,"Lake Street Dive, Side Pony",,,,
12/6/2016 1:46:16,Lemonade Beyonce,,,,
12/6/2016 1:04:39,"Lemonade, Beyonce",,,,
12/5/2016 14:56:45,"Leonard Cohen, You want it darker",,,,
12/6/2016 0:58:04,"Leonard Cohen, You Want it Darker",,,,
12/6/2016 13:41:59,"Leonard Cohen, you want it darker",,,,
12/6/2016 16:10:23,"Leonard Cohen, You want it darker",,,,
12/6/2016 19:53:41,"Leonard Cohen, You Want It Darker",,,,
12/7/2016 19:25:04,"Leonard Cohen, You Want It Darker",,,,
12/9/2016 21:42:49,Leonard Cohen/You Want It Darker,,,,
12/6/2016 3:26:42,"Lindsey Sterling, Brave Enough ",,,,
12/6/2016 3:15:46,"Lindsey Stirling, Brave Enough",,,,
12/6/2016 23:30:14,"lindsey stirling, brave enough",,,,
12/6/2016 21:07:30,"Lisa Hannigan, At Swim",,,,
12/11/2016 17:17:10,"Little Mix, Glory Days",,,,
12/5/2016 20:37:18,"Louis Weeks, HaHa",,,,
